EWRB_ID,Ontario Energy and Water Reporting and Benchmarking Identifier,"An EWRB ID is a unique six-digit identifier assigned by the Ontario government to each building that may be required to report data under Ontario Regulation 506/18. The EWRB ID for a building remains the same each year, even if a building is bought or sold.","When the exact number and/or configuration of buildings on a property is unknown, a single EWRB ID is assigned to the entire property as defined in a land registry and uniquely identified by the Municipal Property Assessment Corporation with a 15-digit Assessment Roll Number.
The general assumption is that there is a single building on a single property and that the EWRB ID is unique to a single building (not the lot upon which it sits); however, this is often unconfirmed and it is possible that building owners can report on multiple individual structures using a single EWRB ID. Conversely, when multiple individual buildings sit on a single lot (uniquely identified by an Assessment Roll Number), the province may assign a unique EWRB ID to each building and the owners may report on each building individually.
",Integer,,,,100000-999999,6,FALSE,000000,Nominal,100110
City,City,"The municipal location of a building, provided by the reporter.","City values are self-reported and not selected from a standardized list, so they may not match standardized values such as those used by the Municipal Property Assessment Corporation, land registries or governments. 
Between records, there may be variation (e.g., Ottawa, City of Ottawa). 
Different values may not necessarily identify mutually exclusive geographic areas (e.g., 'Scarborough' and 'North York' could both identify buildings located in the City of Toronto).
",Text,,,,,N/A,FALSE,,Nominal,Thunder Bay
Postal_Code,Postal Code,"The first three digits of the postal code for a building (not necessarily the owning organization's mailing address), provided by the reporter.","Postal code values are self reported and may not exactly match the postal code used by the Municipal Property Assessment Corporation, municipalities, Canada Post or other address-managing organizations.
Postal code values are not verified; occasionally, postal codes are submitted that do not appear to correctly match the Address1 and/or City values provided by the same reporter.
",Text,,,,,7,FALSE,A0A0A0 or A0A 0A0,Nominal,K1A 0A6
PrimPropTypCalc,Primary Property Type - Portfolio Manager-Calculated,Primary use type is the activity that occupies the largest gross floor area in a building. It is calculated by the Portfolio Manager software according to the gross floor areas reported by the reporter for each use type in a building.,"When the gross floor area of no single property use is greater than 50% of the total gross floor area of a building, Portfolio Manager assigns a building the ""Mixed Use"" value for this variable.
Portfolio Manager uses the Primary Property Type - Portfolio Manager-Calculated variable to determine a building's peer group for comparisons (i.e., ENERGY STAR Score or national energy intensity median). Canadian national median data are available here: https://portfoliomanager.energystar.gov/pdf/reference/Canadian%20National%20Median%20Table.pdf 
",Text,See possible value entries in the Values worksheet under the PrimPropTypCalc column.,,,,N/A,FALSE,,Nominal,Multifamily Housing
PrimPropTypSelf,Primary Property Type - Self-selected,"The  primary use type of a building, selected by the reporter (not calculated by Portfolio Manager).","This variable uses the same universe of values as the PrimPropTypCalc variable but is simply selected by the reporter instead of calculated after the reporter has entered the area for all use types within a building. Therefore, the value may not match the PrimPropTypCalc value. This value may also be different from the PrimPropTypCalc value when Portfolio Manager calculates a ""Mixed Use"" value for that variable.",Text,See possible value entries in the Values worksheet under the PrimPropTypSelf column.,,,,N/A,FALSE,,Nominal,Multifamily Housing
Largest_PropTyp,Largest Property Use Type,The largest property use type by area in a building.,"This variable uses the same universe of values as the PrimPropTypCalc and PrimPropTypSelf variables. It is calculated by Portfolio Manager according to the area information for each use type in a building, provided by the reporter.",Text,See possible value entries in the Values worksheet under the Largest_PropTyp column.,,,,N/A,FALSE,,Nominal,Multifamily Housing
All_Prop_Types,List of All Property Use Types at a building,"A list of all property use types, provided by the reporter.","This variable uses the same universe of values as the PrimPropTypCalc, PrimPropTypSelf and Largest_PropTyp variables. For this variable, Portfolio Manager simply collates alphabetically all of the use types the reporter has provided. Types are separated by a comma and ordered alphabetically, not by area.",Text,,Values may be any combined permutation of the values listed on the Values worksheet in the PrimPropTypCalc column.,,,N/A,FALSE,,Nominal,"Multifamily Housing, Parking, Swimming Pool"
Thrd_Party_Cert,Third-party Certifications,"A list of building certifications, provided by the reporter.","Entries for this field are free-form and unverified, so value format is not standardized. If applicable, most reporters list building certifications awarded by the Building Owners and Managers Association of Canada (BOMA) or the Canada Green Building Council (i.e., LEED). If a building has more than one certification, it appears that most reporters separate the individual certifications with a comma. Some reporters may mistakenly enter the names of professionals (e.g., engineers) who have reviewed building reporting data or inspected a building.",Text,,,,,N/A,TRUE,,Nominal,"BOMA BEST, LEED"
WN_Sit_Elc_Int1,Weather-normalized Site Electricity Intensity (GJ/m2),"The annual average electricity, measured in gigajoules, used per square meter at a building, provided by the reporter. These values are weather-normalized and not climate-normalized.","Portfolio Manager weather-normalizes data by using a 30-year average to determine annual consumption in an average year (even if the particular year in question was hotter or colder than average). This lets you accurately compare the performance of a building in different years. For more information on how Portfolio Manager weather-normalizes usage data, search the Frequently Asked Questions at https://portfoliomanager.zendesk.com. While whese values are weather-normalized, they are NOT climate-normalized. Observations from different climatic areas cannot be compared directly (for example, Sudbury is normally colder than Toronto regardless of annual weather variation and identical buildings hosting identical activities in these two locations would use different amounts of energy--a building in Sudbury would normally use more due to a higher winter heating load). 

Portfolio Manager does not weather-normalize energy use data for single reporting periods greater than 65 days.

""Site"" is used in contrast to ""Source"". 'Site' energy denotes the energy used right at a building, whereas 'Source' energy denotes total energy, including the energy used to create and deliver that site energy to a building. For example, a natural-gas-fired power plant burns natural gas to generate electricity and energy is lost in that conversion, then some electricity is lost as it is transmitted across wires from the generation site to a building. 'Source' energy includes all the energy contained in the natural gas and the energy lost during transmission. For a more detailed explanation, search the Frequently Asked Questions at https://portfoliomanager.zendesk.com.

To calculate intensity, Portfolio Manager uses a building's reported Gross Floor Area (GFA). For more information on which parts of a building are included and excluded in GFA, search the Frequently Asked Questions at https://portfoliomanager.zendesk.com.

Reporters normally report their electricity usage in kilowatt hours. We have converted the reported values to gigajoules (GJ) using the following factor: 0.0036 (1 kilowatt hour equals 0.0036 gigajoules).
",Decimal,,,,,N/A,TRUE,,Interval/Ratio,0.16
WN_Sit_Elc_Int2,Weather-normalized Site Electricity Intensity (kWh/ft2),"The annual average electricity, measured in kilowatt hours, used per square foot at a building, provided by the reporter. These values are weather-normalized and not climate-normalized.","This variable expresses the same phenomenon as the WN_Sit_Elc_Int2 variable and is simply provided in a different unit here for user convenience. 

All Additional Notes regarding WN_Sit_Elc_Int1 apply to this variable too (except the conversion factor, which of course doesn't apply here).",Decimal,,,,,N/A,TRUE,,Interval/Ratio,4.04
