EWRB_ID,City,Postal_Code,PrimPropTypCalc,PrimPropTypSelf,Largest_PropTyp,All_Prop_Types,Thrd_Party_Cert,WN_Sit_Elc_Int1,WN_Sit_Elc_Int2,WN_Sit_Gas_Int1,WN_Sit_Gas_Int2,WN_Sit_Gas_Int3,All_Water_Int1,All_Water_Int2,Ind_Water_Int1,Ind_Water_Int2,Site_EUI1,Site_EUI2,Source_EUI1,Source_EUI2,WN_Site_EUI1,WN_Site_EUI2,WN_Source_EUI1,WN_Source_EUI2,GHG_Emiss_Int1,GHG_Emiss_Int2,Ener_Star_Score,Ener_Star_Certs,Data_Qual_Check,Data_Qual_Date
105018,Toronto,m5r,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.178250368,4.6,1.362452812,36.52688504,3.393458445,1.481122643,0.137600787,0,0,1.486453068,38.36,1.675165958,43.23,1.575190751,40.65,1.760416133,45.43,65.65985774,6.1,0,Not Available,Yes,2021-06-23
�105032,Toronto,M5R,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.11625024,3,0.340613203,9.131721261,0.848364611,0.944088353,0.087708672,0,0,0.449888429,11.61,0.563426163,14.54,0.473525977,12.22,0.587063712,15.15,17.22225777,1.6,0,Not Available,No,Not Available
108191,Toronto,m9a,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.197625408,5.1,1.135377343,30.43907087,2.827882038,2.037307625,0.18927206,0,0,1.253952588,32.36,1.454678002,37.54,1.344627775,34.7,1.54574069,39.89,52.74316442,4.9,0,Not Available,No,Not Available
111285,Mississauga,L5V,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.442503216,0.041109891,Not Available,Not Available,1.028814623,26.55,1.587590777,40.97,Not Available,Not Available,Not Available,Not Available,26.90977776,2.5,0,Not Available,Yes,2021-08-29
113419,Brampton,L6S,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Not Available,0.069750144,1.8,0.227075469,6.087814174,0.565576408,0.023632768,0.002195556,0,0,0.269313056,6.95,0.337125696,8.7,0.288300595,7.44,0.356500736,9.2,10.76391111,1,0,Not Available,No,Not Available
113804,Guelph,N1H,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.13562528,3.5,0.454150937,12.17562835,1.131152815,0.597746057,0.055532422,0,0,0.592876224,15.3,0.725788998,18.73,0.628138796,16.21,0.761051571,19.64,23.68060443,2.2,0,Not Available,No,Not Available
116227,ST. CATHARINES,L2M,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.263500544,6.8,0.681226406,18.26344252,1.696729223,1.403297492,0.130370595,0,0,0.878851814,22.68,1.14816487,29.63,0.955189472,24.65,1.216365011,31.39,31.21534221,2.9,0,Not Available,Yes,2021-04-23
119155,London,N6H,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.178250368,4.6,0.681226406,18.26344252,1.696729223,1.84620817,0.17151834,0,0,0.83351422,21.51,1.0175771,26.26,0.8722643,22.51,1.051677171,27.14,33.36812443,3.1,0,Not Available,No,Not Available
143486,Cambridge,N3C,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.205375424,5.3,0.340613203,9.131721261,0.848364611,0.795772358,0.073929667,0,0,0.505301043,13.04,0.706413958,18.23,0.525838585,13.57,0.7269515,18.76,16.14586666,1.5,0,Not Available,No,Not Available
100956,Ottawa,K1B,Distribution Center,Distribution Center,Distribution Center,Distribution Center,Not Available,0.44562592,11.5,1.021839609,27.39516378,2.545093834,3.291066737,0.305750085,Not Available,Not Available,1.369815327,35.35,1.808078732,46.66,1.431040454,36.93,1.869303858,48.24,48.43759998,4.5,1,Not Available,Yes,2021-06-22
